UnitType,UnitTypeDesc,header_en,header_he,text_en,text_he,slug_en,slug_he,video_url,main_image_url,preview_image_url,image_urls,item_url_he,item_url_en
9,Film,TESTING3,בדיקה3,"A film based on archival footage depicting a Jewish bourgeois family and friends from Brno, Czechoslovakia, enjoying themselves on vacation and in other leisure activities. The original footage was shot by Eduard Lax who documented his family and friends, an upper middle class family, spending leisure time together. The film was shot with a 8mm film camera by the father, Eduard Lax who survived the Holocaust while his wife and children that appear, perished. The original silent film was edited and a soundtrack was added by Beth Hatefutsoth in 2008.

The film was presented to the museum, by Chava Cohen, stepdaughter of Eduard Lax.
","סרט ארכיוני המתאר ימים של חופש ובילויי פנאי של משפחה יהודית בורגנית מברנו, צ'כוסלובקיה ערב בשנים שלפני מלחמת העולם השנייה, לפני השואה. הסרט צולם על ידי אדוארד לקס שתיעד את משפחתו. הסרט צולם במצלמת 8 מ""מ על ידי אבי המשפחה, אדוארד לקס אשר הוא עצמו שרד את השואה, אך אשתו וילדיו הנראים בסרט נספו.
הסרט נערך והוסף לו פס קול על ידי בית התפוצות ב -2008

הסרט  נמסר לבית התפוצות על ידי גב' חווה כהן, בתו החורגת של אדוארד לקס.",video_happy-days-in-brno-czechoslovakia-1935-english,וידאו_ימים-יפים-בברנו-צכוסלובקיה-1935-אנגלית,https://storage.googleapis.com/bhs-movies/1339ba7a-68f5-4cd8-b525-67295ffe308b.mp4,https://storage.googleapis.com/bhs-flat-pics/2A399509-EFA8-4AB1-8847-6A07978F0386.jpg,https://storage.googleapis.com/bhs-flat-pics/2A399509-EFA8-4AB1-8847-6A07978F0386.jpg,"[""https://storage.googleapis.com/bhs-flat-pics/2A399509-EFA8-4AB1-8847-6A07978F0386.jpg""]",,
9,Film,TESTING4,בדיקה4,"A film based on archival footage depicting a Jewish bourgeois family and friends from Brno, Czechoslovakia, enjoying themselves on vacation and in other leisure activities. The original footage was shot by Eduard Lax who documented his family and friends, an upper middle class family, spending leisure time together. The film was shot with a 8mm film camera by the father, Eduard Lax who survived the Holocaust while his wife and children that appear, perished. The original silent film was edited and a soundtrack was added by Beth Hatefutsoth in 2008

The film was presented to the museum, by Chava Cohen, stepdaughter of Eduard Lax.","סרט ארכיוני המתאר ימים של חופש ובילויי פנאי של משפחה יהודית בורגנית מברנו, צ'כוסלובקיה ערב בשנים שלפני מלחמת העולם השנייה, לפני השואה. הסרט צולם על ידי אדוארד לקס שתיעד את משפחתו. הסרט צולם במצלמת 8 מ""מ על ידי אבי המשפחה, אדוארד לקס אשר הוא עצמו שרד את השואה, אך אשתו וילדיו הנראים בסרט נספו.
הסרט נערך והוסף לו פס קול על ידי בית התפוצות ב-2008

הסרט  נמסר לבית התפוצות על ידי גב' חווה כהן, בתו החורגת של אדוארד לקס.",video_happy-days-in-brno-czechoslovakia-1929-hebrew,וידאו_ימים-יפים-בברנו-צכוסלובקיה-1935-עברית,https://storage.googleapis.com/bhs-movies/9012ea49-6edf-4eb0-8609-f4dfaa86784d.mp4,https://storage.googleapis.com/bhs-flat-pics/2A399509-EFA8-4AB1-8847-6A07978F0386.jpg,https://storage.googleapis.com/bhs-flat-pics/2A399509-EFA8-4AB1-8847-6A07978F0386.jpg,"[""https://storage.googleapis.com/bhs-flat-pics/2A399509-EFA8-4AB1-8847-6A07978F0386.jpg""]",,
8,Personality,TESTING5,בדיקה5,"Brod, Max (1884-1968)

Author and composer. Born in Prague, Czechoslovakia, Brod studied law and graduated in 1907 from the German University in Prague. 

He was active in the Zionist movement from 1910 onwards and in 1918 he co-founded the National Council of the Jews of Czechoslovakia and was elected its vice president. He worked for the Czech government until 1924. 

Brod gradually began to focus his interests on literature and served as the theatre and music critic for the Prager Tagblatt between 1924-1939. At the same time he began developing his writing career. 

In 1939 Brod fled to Eretz Israel, where he settled in Tel Aviv. From the time of his immigration until his death, he served as the artistic adviser of Habimah National Theatre and as music critic for Yedioth Chadashoth, a German language daily published in Tel Aviv.

Brod is author of many writings including the philosophical work Heidentum, Christentum, Judentum (1921), twenty novels (including Der Frau, nach der man sich sehnt, 1927, and Tycho Brahes Weg zu Gott, 1916), plays (including Die Koenigin Esther, 1918, Die Faelscher, 1920), biographies (including Franz Kafka, Leos Janacek, 1924-25, and the composer and Brod’s own piano teacher, Adolph Schreiber) and an autobiography (1960). 

He also arranged for publication of Kafka’s writings. Brod translated the librettos of Janacek’s operas into German. His musical compositions include APHORISMEN for piano (1938-39); REQUIEM HEBRAICUM for baritone and orchestra (1942), LA MEDITERRANEE, a rhapsody for piano, 8 LIEDER for voice and piano and TOD UND PARADIES, 2 songs for voice and piano (1952). He died in Tel Aviv.","ברוד, מקס (1884-1968) 

סופר ומלחין.נולד בפראג, צ'כוסלובקיה. למד משפטים וקיבל תואר מטעם האוניברסיטה הגרמנית בפראג. מ-1910 היה פעיל בתנועה הציונית, ב-1918 נמנה עם מייסדי המועצה הלאומית של יהודי צ'כוסלובקיה וכיהן כסגן-נשיאה. עד 1924 עבד בשביל ממשלת צ'כוסלובקיה. 

בהדרגה מיקד את מעייניו בספרות ושימש מבקר המוסיקה והתיאטרון של העיתון ""פראגר טאגבלט"" (Prager Tagblatt) בשנים 1939-1924. באותו זמן טיפח קריירה כסופר. 

ב-1939 נמלט ברוד לארץ-ישראל והשתקע בתל-אביב. מאז עד מותו פעל כיועץ אמנותי לתיאטרון הלאומי ""הבימה"" וכמבקר המוסיקה של ""ידיעות חדשות"", עיתון יומי בשפה הגרמנית שראה אור בתל-אביב.

ברוד הוא מחברם של כתבים רבים וביניהם ""אלילות, נצרות, יהדות"" (1921); עשרים רומנים (""האישה שמתאווים אליה"", 1927, ""דרכו של טיכו בראהה אל האלהים"", 1916); מחזות (""המלכה אסתר"", 1918, ""המזייפים"", 1920); ביוגרפיות (פרנץ קפקא, ליאוש יאנאצ'ק, 1924/25, אדולף שרייבר – מלחין ומורה לפסנתר של ברוד); ואוטוביוגרפיה (1960). 

ערך את כתביו של קפקא ותרגם לגרמנית את הליברית של האופרות מאת יאנאצ'ק. יצירותיו המוסיקליות כוללות את אפוריזמים לפסנתר (1938/39); רקוויאם עברי לבריטון ולתזמורת (1942); סוויטה ים-תיכונית, רפסודיה לפסנתר; שמונה שירים לקול ולפסנתר; מוות וגן-עדן, שני שירים לקול ולפסנתר (1952). נפטר בתל-אביב.",luminary_brod-max,אישיות_ברוד-מקס,,https://storage.googleapis.com/bhs-flat-pics/D8BE8101-A275-434A-BEF3-7F88668DAC82.jpg,https://storage.googleapis.com/bhs-flat-pics/D8BE8101-A275-434A-BEF3-7F88668DAC82.jpg,"[""https://storage.googleapis.com/bhs-flat-pics/D8BE8101-A275-434A-BEF3-7F88668DAC82.jpg""]",,
8,Personality,TESTING6,בדיקה6,"Mahler, Gustav (1860-1911) , composer and conductor. Born in Kalischt, Bohemia, (the former Austro-Hungarian Empire) in 1875 he was sent to study music in Vienna at the Conservatory and with Anton Bruckner. From 1880 he rose through positions in Kassel (1883), Prague, Leipzig (second to Arthur Nikisch), Budapest (1888) and Hamburg (1891) to become director of the Vienna Court Opera in 1897. In order to secure this position Mahler had to convert to Catholicism. Between 1898-1901 he also directed the Vienna Philharmonic Orchestra. His tenure in Vienna brought the opera to artistic achievements previously unknown. At the core of the repertoire he put Mozart’s and Wagner’s operas. Mahler resigned in 1907 because of serious intrigues. He became guest conductor at the Metropolitan Opera and the New York Philharmonic Orchestra. In 1909 he was appointed director of the Philharmonic Society. Mahler tried to free himself from traditional performances and devote himself to the precise clarification of the works' sense and content. He often undertook corrections of the scores he conducted.
Throughout the years Mahler adopted a work pattern: composing during summer vacations and rehearsing his compositions in the autumn. Even though his major occupation was conducting operas, he was a composer devoted to symphony and Lied. He composed 9 symphonies and left a draft of the tenth. He wrote songs and song cycles for voice and piano from German medieval and contemporary literature, among them LIEDER EINES FAHRENDEN GESELLEN (1883-1885) and KINDERTOTENLIEDER (1901-1904, both cycles for voice and orchestra). His “symphony in songs” DAS LIED VON DER ERDE (1907/08) is based on six songs from Chinese Flute by Hans Bethge, written for voice and large orchestra. He died in Vienna.","מאהלר, גוסטב (1860-1911) , מלחין ומנצח. נולד בקאלישט (Kalischt), בוהמיה, (אז באימפריה האוסטרו-הונגרית). ב-1875 נשלח לווינה ללמוד מוסיקה בקונסרבטוריון ואצל אנטון ברוקנר. מ-1880 התחיל להתפרסם כמנצח, לאחר שפעל בקאסל (1883), פראג, לייפציג (מנצח משנה לארתור ניקיש), בודפשט (1888) והמבורג (1891), ב-1897 התמנה למנהל האופרה המלכותית של וינה. כדי להבטיח את מקומו, נאלץ להתנצר ולאמץ את הדת הקתולית. בשנים 1901-1898 ניהל גם את התזמורת הפילהרמונית של וינה. תקופת עבודתו בווינה הביאה את האופרה להישגים אמנותיים חסרי תקדים. במרכז הרפרטואר שלו היו האופרות של מוצרט וואגנר. ב-1907 התפטר מאהלר עקב תככים והיה מנצח אורח במטרופוליטן אופרה ובתזמורת הפילהרמונית של ניו-יורק. ב-1909 מונה למנהל האגודה הפילהרמונית. מאהלר ניסה להשתחרר מדרך הביצוע המסורתית ולייחד את מאמציו להבהרת מהות היצירה ותכנה. לעתים קרובות, ערך תיקונים ביצירות שעליהן ניצח.
במשך השנים אימץ לעצמו תכנית עבודה: הוא נהג להלחין בחופשות הקיץ ולערוך חזרות בסתיו. אף כי עבודתו העיקרית הייתה ניצוח על אופרות, הוא הלחין סימפוניות ושירים. מכלול יצירותיו כולל תשע סימפוניות וטיוטה לסימפוניה עשירית. הלחין שירים ומחזורי שירים לקול ולפסנתר לטקסטים מן הספרות הגרמנית של ימי הביניים ומן הספרות בת זמנו. בין יצירותיו שירי שולייה נודד (1885-1883) ושירי מות ילדים (1904-1901). ה""סימפוניה בשירים"" שלו, השיר על הארץ (1907/08), מבוססת על שישה שירים מתוך הקובץ ""חליל סיני"" מאת הנס בטגה (Hans Bethge), ונכתבה לקול ולתזמורת גדולה. נפטר בווינה, אוסטריה.",luminary_mahler-gustav,אישיות_מאהלר-גוסטב,,https://storage.googleapis.com/bhs-flat-pics/D817EEE0-F8C8-4971-8864-379720C386D9.jpg,https://storage.googleapis.com/bhs-flat-pics/D817EEE0-F8C8-4971-8864-379720C386D9.jpg,"[""https://storage.googleapis.com/bhs-flat-pics/BEA6A1B7-547B-4E3A-9D54-0BBE9872A90C.jpg"", ""https://storage.googleapis.com/bhs-flat-pics/D817EEE0-F8C8-4971-8864-379720C386D9.jpg"", ""https://storage.googleapis.com/bhs-flat-pics/42BAC735-037F-49AD-833C-6C878A4C8893.jpg"", ""https://storage.googleapis.com/bhs-flat-pics/E6036C77-4B80-4F5C-B696-89F686C9CACF.jpg"", ""https://storage.googleapis.com/bhs-flat-pics/1C667BF5-2B83-44BD-9640-FA4955A2F614.jpg""]",,
8,Personality,TESTING7,בדיקה7,"Kafka, Franz (1883-1924), author, born to a middle class family in Prague, Bohemia (then part of Austria-Hungary, now in the Czech Republic)

Kafka was a lonely child. He studied at a German high school and then at university, becoming a doctor of law. He found positions in insurance companies, where he worked long hours and eventually had to resign owing to poor health. 

From 1917 he suffered from tuberculosis and much of his life from then on was spent in Sanatoriums. He was buried in the family tomb in Prague. 

Only a few of his works - and not his best known - were published during his lifetime and he left instructions to his friend and literary executor, Max Brod, to burn the remainder. 

Brod disobeyed and the publication of his novels brought Kafka posthumous world fame. Best-known are his novels, ""The Trial"", ""The Castle"", and ""America"", all written in German. Their world of frustration and nightmarish hopelessness brought the word 'Kafkaesque' into the language.","קפקא, פרנץ (1883-1924), סופר שנולד למשפחה יהודית ממעמד בינוני בפראג, בוהמיה (אז חלק מהאימפריה האוסטרו הונגריה, כיום בצ'כיה). קפקא היה ילד בודד. הוא למד בבית ספר תיכון בגרמניה ולאחר מכן באוניברסיטה לקראת דוקטורט במשפטים. הוא מצא עבודה בחברות ביטוח, בה הוא עבד שעות ארוכות ובסופו של הדבר נאלץ להתפטר בשל בריאות לקויה. מ-1917 הוא סבל ממחלת השחפת וחלק הגדול מחייו מכאן ואילך בילה בבתי המרגוע. 
רק כמה מיצירותיו – ולאו דווקא המובחרות שבהן - יצאו לאור במהלך חייו. בנוגע לשאר היצירות, קפקא השאיר הוראות לחבר שלו ומנהל עזבונו הספרותי, מקס ברוד, לשרוף אותן. 
ברוד לא ציית לבקשתו של קפקא ופרסום הרומנים הביא לקפקא תהילת עולם לאחר מותו. הידועים מבין הרומנים שלו הם: ""המשפט"", ""הטירה"", ו- ""אמריקה"", שאת כולם כתב בגרמנית. עד היום כשמתארים משהו כ-""קפקאי"" הכוונה היא להשפעת עולמו הספרותי של קפקא שהכיל אלמנטים של תסכול, חוסר תקווה וסיוט קיומי. 
קפקא נטמן בקבר המשפחה בפראג.",luminary_kafka-franz,אישיות_קפקא-פרנץ,,https://storage.googleapis.com/bhs-flat-pics/36D08C4D-5777-42AB-9B14-B3C67DF918E9.jpg,https://storage.googleapis.com/bhs-flat-pics/36D08C4D-5777-42AB-9B14-B3C67DF918E9.jpg,"[""https://storage.googleapis.com/bhs-flat-pics/AAB05A99-CA2F-43AB-A89B-52F120383D68.jpg"", ""https://storage.googleapis.com/bhs-flat-pics/684551E3-48E6-490F-9CF6-66020C417DC5.jpg"", ""https://storage.googleapis.com/bhs-flat-pics/36D08C4D-5777-42AB-9B14-B3C67DF918E9.jpg""]",,
1,Photo,TESTING8,בדיקה8,"View of Tarnova, Czechoslovakia, 1930s
(Beth Hatefutsoth Photo Archive,
courtesy of the Klein family, Israel)","מראה העיר טארנובה, 
צ'כוסלובקיה, שנות ה-1930
(בית התפוצות, ארכיון התצלומים,
באדיבות משפחת קליין, ישראל)",image_view-of-tarnova-czechoslovakia-1930s,תמונה_מראה-העיר-טארנובה-צכוסלובקיה-שנות-ה-1930,,https://storage.googleapis.com/bhs-flat-pics/A0DB1339-DDB3-48C0-822F-25CBFCD7CEAD.jpg,https://storage.googleapis.com/bhs-flat-pics/A0DB1339-DDB3-48C0-822F-25CBFCD7CEAD.jpg,"[""https://storage.googleapis.com/bhs-flat-pics/A0DB1339-DDB3-48C0-822F-25CBFCD7CEAD.jpg""]",,
1,Photo,TESTING9,בדיקה9,"Jewish farmers in a village in Carpathian Ruthenia, Czechoslovakia, 1930's
(Beth Hatefutsoth Photo Archive)","איכרים יהודים בכפר בקארפאטורוס,
צ'כוסלובקיה, שנות ה-1930
(בית התפוצות, ארכיון התצלומים)",image_jewish-farmers-in-a-village-in-carpathian-ruthenia-czechoslovakia-1930s,תמונה_איכרים-יהודים-בכפר-בקארפאטורוס-צכוסלובקיה-1930-בקירוב,,https://storage.googleapis.com/bhs-flat-pics/DD1AE633-B51C-40EF-A4B6-45AAB6E0B6F1.jpg,https://storage.googleapis.com/bhs-flat-pics/DD1AE633-B51C-40EF-A4B6-45AAB6E0B6F1.jpg,"[""https://storage.googleapis.com/bhs-flat-pics/DD1AE633-B51C-40EF-A4B6-45AAB6E0B6F1.jpg""]",,
1,Photo,TESTING10,בדיקה10,"The Jewish gate to Brno, Moravia 18th century.
Drawing.
From: ""Die Juden Und Judengemeinde"", by Hugo Gold,
Brno, Czechoslovakia 1934.","השער היהודי בברנו, מורביה  המאה ה-18.
מתוך: ""היהודים והקהילות היהודיות"" מאת הוגו גולד,
ברנו, צ'כוסלובקיה 1934.",image_the-jewish-gate-in-brno-moravia-18th-century-drawing,תמונה_השער-היהודי-בברנו-מורביה-המאה-ה-18-רישום,,https://storage.googleapis.com/bhs-flat-pics/35C860FB-D9CD-49D2-863B-90A38CA8EAC1.jpg,https://storage.googleapis.com/bhs-flat-pics/35C860FB-D9CD-49D2-863B-90A38CA8EAC1.jpg,"[""https://storage.googleapis.com/bhs-flat-pics/35C860FB-D9CD-49D2-863B-90A38CA8EAC1.jpg""]",,
1,Photo,TESTING11,בדיקה11,"City and Synagogue, a View from the Air,
 Bratislava, Slovakia, 1903.
 (Tel Aviv, Gross Family collection)
","מבט מהאויר על העיר, ועל בית הכנסת הניאולוגי.
ברטיסלבה, סלובקיה, 1903.
(תל אביב, אוסף משפחת גרוס)",image_city-and-synagogue-a-view-from-the-air-bratislava-slovakia-1903,תמונה_מבט-על-העיר-ועל-בית-הכנסת-הניאולוגי-ברטיסלבה-סלובקיה-1903,,https://storage.googleapis.com/bhs-flat-pics/226A1ABC-92A0-476D-85C6-AD06B8D4B9E8.jpg,https://storage.googleapis.com/bhs-flat-pics/226A1ABC-92A0-476D-85C6-AD06B8D4B9E8.jpg,"[""https://storage.googleapis.com/bhs-flat-pics/226A1ABC-92A0-476D-85C6-AD06B8D4B9E8.jpg""]",,
1,Photo,TESTING12,בדיקה12,"Dr. Alfred Winternitz on vacation 
in Marianbad, Czechoslovakia, 1925
(Beth Hatefutsoth Photo Archive,
courtesy of Chana Landes, Israel)","ד""ר אלפרד וינטרניץ בחופשה 
במריאנבאד, צ'כוסלובקיה, 1925
(בית התפוצות, ארכיון התצלומים,
באדיבות חנה לנדס, ישראל)",image_dr-alfred-winternitz-on-vacation-in-marianbad-czechoslovakia-1925,תמונה_ד-ר-אלפרד-וינטרניץ-ובחופשה-במריאנבאד-צכוסלובקיה-1925,,https://storage.googleapis.com/bhs-flat-pics/4F53B41C-3DBC-41B9-881E-239B086EE97F.jpg,https://storage.googleapis.com/bhs-flat-pics/4F53B41C-3DBC-41B9-881E-239B086EE97F.jpg,"[""https://storage.googleapis.com/bhs-flat-pics/4F53B41C-3DBC-41B9-881E-239B086EE97F.jpg""]",,
